,INDEX No.,CATEGORY,DEPTH 1,DEPTH 2,DEPTH 3,PRE-CONDITION,STEP,EXPECT RESULT,MAC,WINDOW,ISSUE,COMMENT
,1,1. 원가 사용 옵션 ON/OFF,쇼핑 > 환경설정,원가 사용 옵션,-,,Free 사이트에서 옵션 확인,"""상품 및 옵션의 원가 사용하기"" 옵션 노출",PASS,PASS,,
,2,1. 원가 사용 옵션 ON/OFF,쇼핑 > 환경설정,원가 사용 옵션,-,,Starter 사이트에서 옵션 확인,"""상품 및 옵션의 원가 사용하기"" 옵션 노출",PASS,PASS,,
,3,1. 원가 사용 옵션 ON/OFF,쇼핑 > 환경설정,원가 사용 옵션,-,,Pro 사이트에서 옵션 확인,"""상품 및 옵션의 원가 사용하기"" 옵션 노출",PASS,PASS,,
,4,1. 원가 사용 옵션 ON/OFF,쇼핑 > 환경설정,원가 사용 옵션,-,,"Global 사이트에서 옵션 확인
- 모든 유닛에서 접근","""상품 및 옵션의 원가 사용하기"" 옵션 노출",PASS,PASS,,
,5,1. 원가 사용 옵션 ON/OFF,쇼핑 > 환경설정,원가 사용 옵션,-,,옵션 디폴트 상태 확인,unchecked(OFF) 상태,PASS,PASS,,
,6,1. 원가 사용 옵션 ON/OFF,쇼핑 > 환경설정,원가 사용 옵션,-,,[?] 아이콘 호버,"툴팁 노출
--------------------------------------------
상품과 옵션별 공급가를 입력하고 사용할 수 있습니다. 이 옵션을 체크하면 상품 등록 및 편집 화면의 가격 영역에 공급가 입력 필드가 노출됩니다.",PASS,PASS,,
,7,1. 원가 사용 옵션 ON/OFF,쇼핑 > 환경설정,원가 사용 옵션,-,,클릭,checked/unchecked 전환,PASS,PASS,,
,8,1. 원가 사용 옵션 ON/OFF,쇼핑 > 환경설정,원가 사용 옵션,-,,checked 상태로 저장,원가 기능 사용 ON으로 저장됨,PASS,PASS,,
,9,1. 원가 사용 옵션 ON/OFF,쇼핑 > 환경설정,원가 사용 옵션,-,,unchecked 상태로 저장,원가 기능 사용 OFF로 저장됨,PASS,PASS,,
,10,1. 원가 사용 옵션 ON/OFF,쇼핑 > 환경설정,원가 사용 옵션,-,,원가 입력된 상품이 있을 때 unchecked 상태로 저장,"원가 기능 사용 OFF로 저장되어, 해당 상품의 원가는 미노출됨
- 다시 ON하면 이전 원가 다시 노출",PASS,PASS,,
